,종목명,현재가,전일대비,등락률
0,소프트센,852,상승 36,+4.41%
1,시그네틱스,"1,981",상승 182,+10.12%
2,KODEX 200선물인버스2X,"2,220",하락 15,-0.67%
3,씨씨에스,"5,750",상승 250,+4.55%
4,베셀,705,상승 162,+29.83%
5,KR모터스,527,상승 30,+6.04%
6,KODEX 코스닥150선물인버스,"3,615",상승 5,+0.14%
7,인성정보,"5,320",하락 40,-0.75%
8,골든센츄리,143,하락 8,-5.30%
9,아이비김영,"2,535",상승 485,+23.66%
10,리노스,"1,906",상승 116,+6.48%
11,케이웨더,"18,620","상승 11,620",+166.00%
12,유비케어,"6,470",상승 420,+6.94%
13,디딤이앤에프,602,상승 95,+18.74%
14,카나리아바이오,"1,133",하락 133,-10.51%
